date,total confirmed cases,daily confirmed cases,active cases,total recovered,daily recovered  ,total confirmed deaths,daily confirmed deaths,critical condition,cumulative total tests,schools closing down,protection,protection,,,,,,,,,
"Feb 9, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 10, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 11, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 12, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 13, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 14, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 15, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 16, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 17, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 18, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 19, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 20, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 21, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 22, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 23, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 24, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 25, 2020",0,0,0,0,0,0,0,,,0,0,0,,,,,,,,,
"Feb 26, 2020",2,2,2,0,0,0,0,,218,0,0,0,,,,,,,,,
"Feb 27, 2020",2,0,2,0,0,0,0,,321,0,0,0,,,,,,,,,
"Feb 28, 2020",5,3,5,0,0,0,0,,447,0,0,0,,,,,,,,,
"Feb 29, 2020",7,2,7,0,0,0,0,,763,0,0,0,,,,,,,,,
"Mar 1, 2020",10,3,10,0,0,0,0,,1649,0,0,0,,,,,,,,,
"Mar 2, 2020",14,4,14,0,0,0,0,,,0,0,0,,,,,,,,,
"Mar 3, 2020",18,4,18,0,0,0,0,,,0,0,0,,,,,,,,,
"Mar 4, 2020",24,6,24,0,0,0,0,,2683,0,0,0,,,,,,,,,
"Mar 5, 2020",29,5,29,0,0,0,0,,3138,0,0,0,,,,,,,,,
"Mar 6, 2020",41,12,41,0,0,0,0,,3711,0,0,0,,,,,,,,,
"Mar 7, 2020",74,33,64,10,10,0,0,,4000,0,0,0,,,,,,,,,
"Mar 8, 2020",99,25,79,10,0,0,0,,4308,0,0,0,,,,,,,,,
"Mar 9, 2020",102,3,102,10,0,0,0,,4509,0,0,0,,,,,,,,,
"Mar 10, 2020",131,29,129,12,2,0,0,,4734,0,0,0,,,,,,,,,
"Mar 11, 2020",182,51,178,13,1,0,0,,5026,0,0,0,,,,,,,,,
"Mar 12, 2020",246,64,242,13,0,0,0,,5362,0,0,0,,,,,,,,,
"Mar 13, 2020",361,115,356,18,5,1,1,,5869,0,0,0,,,,,,,,,
"Mar 14, 2020",504,143,497,18,0,1,0,,6582,0,0,0,,,,,,,,,
"Mar 15, 2020",655,151,648,18,0,1,0,,7467,0,0,0,,,,,,,,,
"Mar 16, 2020",860,205,853,18,0,1,0,,8167,8,0,0,,,,,,,,,
"Mar 17, 2020",1016,156,1007,20,2,3,2,,8490,8,0,0,,infected:,0.0001154545455,dead:,0.0000003409090909,infected no per 1000000:,115.4545455,dead no per 1000000:,0.3409090909
"Mar 18, 2020",1332,316,1319,23,3,3,0,,10278,10,0,0,,,,,,,,,
"Mar 19, 2020",1646,314,1633,25,2,4,1,,11977,10,0,0,,,,,,,,,
"Mar 20, 2020",2196,550,2164,30,5,6,2,,13724,10,0,0,,,,,,,,,
"Mar 21, 2020",2649,453,2634,30,0,6,0,,15613,10,0,0,,,,,,,,,
"Mar 22, 2020",3024,375,2974,45,15,8,2,,18545,10,0,0,,,,,,,,,
"Mar 23, 2020",3631,607,3557,55,10,16,8,,21368,10,0,0,,,,,,,,,
"Mar 24, 2020",4486,855,4444,66,11,25,9,,23429,10,0,0,,,,,,,,,
"Mar 25, 2020",5282,796,5246,66,0,30,5,,28391,10,0,0,,,,,,,,,
"Mar 26, 2020",5888,606,5548,169,103,34,4,,32407,10,0,0,,,,,,,,,
"Mar 27, 2020",7029,1141,6748,282,113,52,18,,35995,10,0,0,,,,,,,,,
"Mar 28, 2020",7697,668,7414,282,0,68,16,,39552,10,0,0,,,,,,,,,
"Mar 29, 2020",8291,594,7978,536,254,68,18,,42750,10,0,0,,,,,,,,,
"Mar 30, 2020",8813,522,8223,693,157,86,22,,46441,10,0,0,,,,,,,,,
"Mar 31, 2020",9618,805,8874,1152,459,108,20,,49455,10,0,0,,,,,,,,,
"Apr 1, 2020",10182,564,8957,1493,341,128,18,,52344,10,0,0,,,,,,,,,
"Apr 2, 2020",10711,529,9129,1806,313,146,12,,55863,10,0,0,,,,,,,,,
"Apr 3, 2020",11129,418,9222,2079,273,158,10,,92190,10,0,0,,,,,,,,,
"Apr 4, 2020",11525,396,9334,2564,485,168,18,,98343,10,0,0,,,,,,,,,
"Apr 5, 2020",11766,241,9088,3055,491,186,18,,104134,10,0,0,,,,,,,,,
"Apr 6, 2020",11983,217,8849,3520,465,204,16,,108416,10,7,0,,,,,,,,,
"Apr 7, 2020",12297,314,8614,4103,583,220,23,,111296,10,7,0,,,,,,,,,
"Apr 8, 2020",12640,343,8350,4569,466,243,30,,115235,10,7,0,,,,,,,,,
"Apr 9, 2020",12969,329,8157,5297,728,273,22,,120755,10,7,0,,,,,,,,,
"Apr 10, 2020",13248,279,7709,6121,824,295,24,,126287,10,7,0,,,,,,,,,
"Apr 11, 2020",13560,312,7177,6661,540,319,18,246,134743,10,7,0,,,,,,,,,
"Apr 12, 2020",13806,246,6865,7044,383,337,13,239,140975,10,7,0,,,,,,,,,
"Apr 13, 2020",13945,139,6608,7400,356,368,18,243,148412,10,7,0,,,,,,,,,
"Apr 14, 2020",14226,185,6330,7690,290,384,16,243,151796,10,9,7,,,,,,,,,
"Apr 15, 2020",14350,124,6209,8155,465,393,9,243,156801,10,9,7,,,,,,,,,
"Apr 16, 2020",14476,126,5859,9043,888,410,17,203,162816,10,9,7,,,,,,,,,
"Apr 17, 2020",14595,119,5080,9761,718,431,21,178,169272,10,9,7,,,,,,,,,
"Apr 18, 2020",14671,76,4460,10271,510,443,12,160,175932,10,9,7,,,,,,,,,
"Apr 19, 2020",14749,78,4014,10558,287,452,9,151,179243,10,9,7,,,,,,,,,
"Apr 20, 2020",14795,46,3796,10688,130,470,18,147,182949,10,9,7,,,,,,,,,
"Apr 21, 2020",14873,78,3694,11028,340,491,21,136,189018,10,9,7,,,,,,,,,
"Apr 22, 2020",14925,52,3411,11385,357,510,19,123,201794,10,9,7,,,,,,,,,
"Apr 23, 2020",15002,77,3087,11751,366,522,12,111,205835,10,9,7,,,,,,,,,
"Apr 24, 2020",15071,69,2786,11929,178,530,8,106,212686,10,9,7,,,,,,,,,
"Apr 25, 2020",15148,77,2669,12160,231,536,6,100,221089,10,9,7,,,,,,,,,
"Apr 26, 2020",15225,77,2509,12339,179,542,6,96,227631,10,9,7,,,,,,,,,
"Apr 27, 2020",15274,49,2401,12419,80,549,7,94,232537,10,9,7,,,,,,,,,
"Apr 28, 2020",15357,83,2363,12637,218,569,20,88,239578,10,9,7,,,,,,,,,
"Apr 29, 2020",15402,45,2208,12836,199,580,11,81,247754,10,9,7,,,,,,,,,
"Apr 30, 2020",15452,50,2043,12964,128,584,4,78,256399,10,9,7,0.6636363636,infected:,0.001755909091,dead:,0.00006636363636,infected no per 1000000:,1755.909091,dead no per 1000000:,66.36363636
"May 1, 2020",15458,34,1961,13167,203,589,5,,264079,,,,,,,,,,,,
"May 2, 2020",15470,12,1832,13237,70,596,7,,269619,,,,,,,,,,,,
"May 3, 2020",15538,68,1782,13285,48,598,2,,274355,,,,,,,,,,,,
"May 4, 2020",15569,31,1771,13373,88,600,2,,279071,,,,,,,,,,,,
"May 5, 2020",15586,17,1705,13519,146,606,6,,285883,,,,,,,,,,,,
"May 6, 2020",15651,65,1582,13696,177,608,2,,292254,,,,,,,,,,,,
"May 7, 2020",15673,22,1437,13755,59,609,1,,297894,,,,,,,,,,,,
"May 8, 2020",15735,62,1445,13893,138,614,5,,304069,,,,,,,,,,,,
"May 9, 2020",15777,42,1324,13985,92,615,1,,311690,,,,,,,,,,,,
"May 10, 2020",15787,10,1290,14048,63,618,3,,316508,,,,,,,,,,,,
"May 11, 2020",15874,87,1262,14118,70,620,2,,319484,,,,,,,,,,,,
"May 12, 2020",15910,36,1201,14205,87,623,3,,329314,,,,,,,,,,,,
"May 13, 2020",15964,54,1190,14361,156,624,1,,336252,,,,,,,,,,,,
"May 14, 2020",16005,41,1069,14462,101,626,2,,344606,,,,,,,,,,,,
"May 15, 2020",16068,63,1027,14528,66,628,2,,351351,,,,,,,,,,,,
"May 16, 2020",16140,72,1010,14581,53,628,0,,357393,,,,,,,,,,,,
"May 17, 2020",16154,14,1048,14620,39,629,1,,362509,,,,,,,,,,,,
"May 18, 2020",16179,25,1050,14671,51,629,0,,365873,,,,,,,,,,,,
"May 19, 2020",16257,78,1026,14735,64,632,3,,372435,,,,,,,,,,,,
"May 20, 2020",16275,18,1011,14939,204,633,1,,379592,,,,,,,,,,,,
"May 21, 2020",16332,57,838,15008,69,633,0,,,,,,,,,,,,,,
"May 22, 2020",16361,29,820,15062,54,635,2,,390488,,,,,,,,,,,,
"May 23, 2020",16407,46,796,15094,32,639,4,,396363,,,,,,,,,,,,
"May 24, 2020",16439,32,810,15120,26,640,1,,401857,,,,,,,,,,,,
"May 25, 2020",16459,20,800,15195,75,641,1,,405341,,,,,,,,,,,,
"May 26, 2020",16497,38,760,15239,44,643,2,,411185,,,,,,,,,,,,
"May 27, 2020",16515,18,732,15285,46,645,2,,418706,,,,,,,,,,,,
"May 28, 2020",16543,28,718,15343,58,668,23,,427372,,,,,,,,,,,,
"May 29, 2020",16594,51,674,15404,61,668,0,,434302,,,,,,,,,,,,
"May 30, 2020",16638,44,640,15577,173,668,0,,442143,,,,,,,,,,,,
"May 31, 2020",16642,4,497,15650,73,668,0,,448534,,,,,,,,,,,,
"Jun 1, 2020",16663,21,470,15653,3,668,0,,451820,,,,,,,,,,,,
"Jun 2, 2020",16674,11,469,15686,33,669,1,,456378,,,,,,,,,,,,
"Jun 3, 2020",16705,31,461,15729,43,670,1,,462958,,,,,,,,,,,,
"Jun 4, 2020",16741,36,429,15774,45,670,0,,471466,,,,,,,,,,,,
"Jun 5, 2020",16803,62,418,15799,25,672,2,,479449,,,,,,,,,,,,
"Jun 6, 2020",16822,19,429,15846,47,672,0,,485912,,,,,,,,,,,,
"Jun 7, 2020",16868,46,437,15850,4,672,0,,489597,,,,,,,,,,,,
"Jun 8, 2020",16889,21,457,15896,46,672,0,,494761,,,,,,,,,,,,
"Jun 9, 2020",16902,13,432,15932,36,672,0,,500921,,,,,,,,,,,,
"Jun 10, 2020",16936,34,422,15967,35,673,1,,506344,,,,,,,,,,,,
"Jun 11, 2020",16964,28,411,16006,39,674,1,,512501,,,,,,,,,,,,
"Jun 12, 2020",16994,30,404,16042,36,675,1,,,,,,,,,,,,,,
"Jun 13, 2020",17014,20,389,16069,27,677,2,,520976,,,,,,,,,,,,
"Jun 14, 2020",17038,24,373,16116,47,677,0,,524840,,,,,,,,,,,,
"Jun 15, 2020",17065,27,391,16123,7,678,1,,527670,,,,,,,,,,,,
"Jun 16, 2020",17098,33,419,16146,23,681,3,,532700,,,,,,,,,,,,
"Jun 17, 2020",17115,17,417,16156,10,687,6,,540615,,,,,,,,,,,,
"Jun 18, 2020",17155,40,434,16158,2,688,1,,545927,,,,,,,,,,,,
"Jun 19, 2020",17185,30,442,16198,40,688,0,,552130,,,,,,,,,,,,
"Jun 20, 2020",17323,62,460,16232,34,688,0,,558208,,,,,,,,,,,,
"Jun 21, 2020",17341,38,454,16254,22,690,2,,560584,,,,,,,,,,,,
"Jun 22, 2020",17380,35,449,16298,44,690,0,,565800,,,,,,,,,,,,
"Jun 23, 2020",17408,,454,16318,20,693,,,572473,,,,,,,,,,,,
"Jun 24, 2020",17449,,474,16339,21,693,,,,,,,,,,,,,,,
"Jun 25, 2020",17477,,459,16377,38,698,,,,,,,,,,,,,,,
"Jun 26, 2020",17522,,476,16405,28,698,,,,,,,,,,,,,,,
"Jun 27, 2020",17580,,509,16428,23,700,,,,,,,,,,,,,,,
"Jun 28, 2020",17654,,551,16458,30,702,,,,,,,,,,,,,,,
